location,total_vaccinations,people_fully_vaccinated,daily_vaccinations,date
Romania,16827486.0,8114769.0,131697.0,2022-07-10
Russia,170939937.0,75048093.0,1020075.0,2022-08-02
Rwanda,25522207.0,8822309.0,370105.0,2022-07-17
Saint Helena,7892.0,3531.0,165.0,2021-05-05
Saint Kitts and Nevis,62450.0,26858.0,894.0,2022-07-29
Saint Lucia,122084.0,54570.0,1912.0,2022-08-03
Saint Vincent and the Grenadines,72022.0,31088.0,889.0,2022-07-22
Samoa,495431.0,198896.0,8373.0,2022-07-11
San Marino,69338.0,23633.0,725.0,2022-05-22
Sao Tome and Principe,221655.0,99341.0,2448.0,2022-07-17
Saudi Arabia,66700629.0,25082132.0,402957.0,2022-06-20
Scotland,12978152.0,4266172.0,71226.0,2022-07-31
Senegal,2523856.0,1069859.0,41586.0,2022-07-17
Serbia,8534688.0,3278198.0,64449.0,2022-06-23
Seychelles,221597.0,80925.0,2911.0,2022-07-17
Sierra Leone,3526274.0,1916574.0,52708.0,2022-07-10
Singapore,14281534.0,5000501.0,76344.0,2022-08-01
Sint Maarten (Dutch part),63735.0,26417.0,892.0,2022-07-08
Slovakia,7077521.0,2767566.0,35902.0,2022-07-24
Slovenia,2996643.0,1222225.0,19121.0,2022-07-06
Solomon Islands,479045.0,187200.0,4596.0,2022-07-18
Somalia,3344579.0,1764597.0,34098.0,2022-07-19
South Africa,37225158.0,19221127.0,241230.0,2022-08-03
South America,910087353.0,331178372.0,3606936.0,2022-08-03
South Korea,127590192.0,44653291.0,880924.0,2022-08-03
South Sudan,1362308.0,1270042.0,23530.0,2022-07-17
Spain,95491074.0,40606091.0,670109.0,2022-07-27
Sri Lanka,39662637.0,14553903.0,475620.0,2022-07-21
Sudan,8179010.0,4536964.0,159116.0,2022-06-27
Suriname,505699.0,237879.0,6238.0,2022-05-23
Sweden,22674504.0,7651988.0,110632.0,2022-06-23
Switzerland,15888259.0,6006703.0,92608.0,2022-08-01
Syria,4389805.0,1914784.0,90157.0,2022-07-19
Taiwan,59766737.0,19930646.0,585216.0,2022-08-03
Tajikistan,13782905.0,5034819.0,88171.0,2022-06-12
Tanzania,15257697.0,10518478.0,230733.0,2022-07-17
Thailand,140926438.0,53196637.0,846179.0,2022-08-03
Timor,1746143.0,729171.0,11248.0,2022-07-26
Togo,3290821.0,1557538.0,37978.0,2022-07-17
Tokelau,2464.0,1125.0,23.0,2022-07-25
Tonga,242634.0,97151.0,2026.0,2022-06-20
Trinidad and Tobago,1577484.0,715585.0,17908.0,2022-08-03
Tunisia,14894966.0,6377749.0,167388.0,2022-07-18
Turkey,150892690.0,53120250.0,1264431.0,2022-08-03
Turkmenistan,7140000.0,2920000.0,19106.0,2022-03-06
Turks and Caicos Islands,70169.0,30129.0,517.0,2022-07-08
Tuvalu,12528.0,6160.0,240.0,2022-04-05
Uganda,23972170.0,12029925.0,294514.0,2022-07-17
Ukraine,31668577.0,15153577.0,255007.0,2022-02-27
United Arab Emirates,24922054.0,9792266.0,155312.0,2022-06-20
United Kingdom,150590197.0,50483527.0,970350.0,2022-07-27
United States,603693871.0,223245563.0,3500858.0,2022-07-26
Upper middle income,5277812940.0,1974037650.0,27380115.0,2022-08-03
Uruguay,8715515.0,2890014.0,49502.0,2022-08-03
Uzbekistan,58191020.0,15794134.0,426314.0,2022-07-10
Vanuatu,313449.0,130607.0,8843.0,2022-07-25
Venezuela,37860994.0,14287370.0,466473.0,2022-03-25
Vietnam,234856999.0,80185029.0,1675471.0,2022-07-07
Wales,7408695.0,2441565.0,61187.0,2022-07-27
Wallis and Futuna,16426.0,6457.0,432.0,2022-05-02
World,12362967385.0,4872137202.0,43688912.0,2022-08-03
Yemen,874886.0,450163.0,10240.0,2022-07-04
Zambia,8130436.0,5158680.0,117635.0,2022-08-01
Zimbabwe,12182698.0,4692440.0,121347.0,2022-07-31
